Year,Method,Rank,Team
2010,Method_1,1,10
2010,Method_1,2,20
2010,Method_1,3,29
2010,Method_1,4,28
2010,Method_1,5,14
2010,Method_1,6,15
2010,Method_1,7,12
2010,Method_1,8,4
2010,Method_1,9,21
2010,Method_1,10,7
2010,Method_1,11,30
2010,Method_1,12,0
2010,Method_1,13,31
2010,Method_1,14,26
2010,Method_1,15,6
2010,Method_1,16,18
2010,Method_1,17,2
2010,Method_1,18,1
2010,Method_1,19,17
2010,Method_1,20,5
2010,Method_1,21,16
2010,Method_1,22,8
2010,Method_1,23,11
2010,Method_1,24,27
2010,Method_1,25,3
2010,Method_1,26,19
2010,Method_1,27,25
2010,Method_1,28,9
2010,Method_1,29,24
2010,Method_1,30,23
2010,Method_1,31,22
2010,Method_1,32,13
2010,Method_2,1,20
2010,Method_2,2,10
2010,Method_2,3,14
2010,Method_2,4,12
2010,Method_2,5,29
2010,Method_2,6,31
2010,Method_2,7,15
2010,Method_2,8,28
2010,Method_2,9,21
2010,Method_2,10,4
2010,Method_2,11,30
2010,Method_2,12,18
2010,Method_2,13,7
2010,Method_2,14,0
2010,Method_2,15,6
2010,Method_2,16,5
2010,Method_2,17,1
2010,Method_2,18,2
2010,Method_2,19,26
2010,Method_2,20,17
2010,Method_2,21,16
2010,Method_2,22,19
2010,Method_2,23,11
2010,Method_2,24,27
2010,Method_2,25,3
2010,Method_2,26,8
2010,Method_2,27,25
2010,Method_2,28,9
2010,Method_2,29,23
2010,Method_2,30,22
2010,Method_2,31,24
2010,Method_2,32,13
2010,Method_3,1,20
2010,Method_3,2,14
2010,Method_3,3,10
2010,Method_3,4,31
2010,Method_3,5,18
2010,Method_3,6,29
2010,Method_3,7,12
2010,Method_3,8,19
2010,Method_3,9,15
2010,Method_3,10,30
2010,Method_3,11,4
2010,Method_3,12,21
2010,Method_3,13,5
2010,Method_3,14,1
2010,Method_3,15,28
2010,Method_3,16,7
2010,Method_3,17,2
2010,Method_3,18,8
2010,Method_3,19,0
2010,Method_3,20,6
2010,Method_3,21,27
2010,Method_3,22,16
2010,Method_3,23,24
2010,Method_3,24,3
2010,Method_3,25,9
2010,Method_3,26,17
2010,Method_3,27,11
2010,Method_3,28,22
2010,Method_3,29,26
2010,Method_3,30,25
2010,Method_3,31,23
2010,Method_3,32,13
2010,Method_4,1,20
2010,Method_4,2,14
2010,Method_4,3,10
2010,Method_4,4,12
2010,Method_4,5,15
2010,Method_4,6,28
2010,Method_4,7,29
2010,Method_4,8,4
2010,Method_4,9,31
2010,Method_4,10,21
2010,Method_4,11,30
2010,Method_4,12,7
2010,Method_4,13,0
2010,Method_4,14,5
2010,Method_4,15,6
2010,Method_4,16,18
2010,Method_4,17,1
2010,Method_4,18,16
2010,Method_4,19,26
2010,Method_4,20,11
2010,Method_4,21,2
2010,Method_4,22,17
2010,Method_4,23,3
2010,Method_4,24,27
2010,Method_4,25,19
2010,Method_4,26,8
2010,Method_4,27,25
2010,Method_4,28,9
2010,Method_4,29,23
2010,Method_4,30,22
2010,Method_4,31,24
2010,Method_4,32,13
2010,Method_5,1,14
2010,Method_5,2,20
2010,Method_5,3,15
2010,Method_5,4,17
2010,Method_5,5,29
2010,Method_5,6,28
2010,Method_5,7,4
2010,Method_5,8,16
2010,Method_5,9,2
2010,Method_5,10,1
2010,Method_5,11,0
2010,Method_5,12,10
2010,Method_5,13,13
2010,Method_5,14,26
2010,Method_5,15,12
2010,Method_5,16,23
2010,Method_5,17,25
2010,Method_5,18,3
2010,Method_5,19,11
2010,Method_5,20,31
2010,Method_5,21,21
2010,Method_5,22,5
2010,Method_5,23,18
2010,Method_5,24,30
2010,Method_5,25,24
2010,Method_5,26,22
2010,Method_5,27,19
2010,Method_5,28,7
2010,Method_5,29,6
2010,Method_5,30,27
2010,Method_5,31,8
2010,Method_5,32,9
2010,Method_6,1,10
2010,Method_6,2,21
2010,Method_6,3,28
2010,Method_6,4,29
2010,Method_6,5,20
2010,Method_6,6,15
2010,Method_6,7,4
2010,Method_6,8,14
2010,Method_6,9,0
2010,Method_6,10,7
2010,Method_6,11,12
2010,Method_6,12,30
2010,Method_6,13,26
2010,Method_6,14,31
2010,Method_6,15,27
2010,Method_6,16,8
2010,Method_6,17,16
2010,Method_6,18,18
2010,Method_6,19,2
2010,Method_6,20,6
2010,Method_6,21,5
2010,Method_6,22,1
2010,Method_6,23,17
2010,Method_6,24,25
2010,Method_6,25,22
2010,Method_6,26,24
2010,Method_6,27,19
2010,Method_6,28,9
2010,Method_6,29,11
2010,Method_6,30,23
2010,Method_6,31,3
2010,Method_6,32,13
2010,Method_7,1,31
2010,Method_7,2,30
2010,Method_7,3,29
2010,Method_7,4,28
2010,Method_7,5,27
2010,Method_7,6,26
2010,Method_7,7,25
2010,Method_7,8,24
2010,Method_7,9,23
2010,Method_7,10,22
2010,Method_7,11,21
2010,Method_7,12,20
2010,Method_7,13,19
2010,Method_7,14,18
2010,Method_7,15,17
2010,Method_7,16,16
2010,Method_7,17,15
2010,Method_7,18,14
2010,Method_7,19,13
2010,Method_7,20,12
2010,Method_7,21,11
2010,Method_7,22,10
2010,Method_7,23,9
2010,Method_7,24,8
2010,Method_7,25,7
2010,Method_7,26,6
2010,Method_7,27,5
2010,Method_7,28,4
2010,Method_7,29,3
2010,Method_7,30,2
2010,Method_7,31,1
2010,Method_7,32,0
