Year,Method,Rank,Team
1999,Method_1,1,0
1999,Method_1,2,68
1999,Method_1,3,107
1999,Method_1,4,50
1999,Method_1,5,12
1999,Method_1,6,6
1999,Method_1,7,103
1999,Method_1,8,18
1999,Method_1,9,57
1999,Method_1,10,32
1999,Method_1,11,13
1999,Method_1,12,70
1999,Method_1,13,95
1999,Method_1,14,86
1999,Method_1,15,53
1999,Method_1,16,20
1999,Method_1,17,36
1999,Method_1,18,8
1999,Method_1,19,47
1999,Method_1,20,59
1999,Method_1,21,66
1999,Method_1,22,83
1999,Method_1,23,40
1999,Method_1,24,92
1999,Method_1,25,51
1999,Method_1,26,64
1999,Method_1,27,85
1999,Method_1,28,30
1999,Method_1,29,81
1999,Method_1,30,4
1999,Method_1,31,34
1999,Method_1,32,108
1999,Method_1,33,76
1999,Method_1,34,104
1999,Method_1,35,28
1999,Method_1,36,7
1999,Method_1,37,78
1999,Method_1,38,44
1999,Method_1,39,3
1999,Method_1,40,9
1999,Method_1,41,46
1999,Method_1,42,45
1999,Method_1,43,80
1999,Method_1,44,75
1999,Method_1,45,74
1999,Method_1,46,100
1999,Method_1,47,24
1999,Method_1,48,69
1999,Method_1,49,29
1999,Method_1,50,67
1999,Method_1,51,10
1999,Method_1,52,87
1999,Method_1,53,106
1999,Method_1,54,71
1999,Method_1,55,90
1999,Method_1,56,54
1999,Method_1,57,38
1999,Method_1,58,26
1999,Method_1,59,16
1999,Method_1,60,22
1999,Method_1,61,2
1999,Method_1,62,42
1999,Method_1,63,19
1999,Method_1,64,97
1999,Method_1,65,1
1999,Method_1,66,79
1999,Method_1,67,96
1999,Method_1,68,77
1999,Method_1,69,56
1999,Method_1,70,82
1999,Method_1,71,89
1999,Method_1,72,39
1999,Method_1,73,62
1999,Method_1,74,31
1999,Method_1,75,88
1999,Method_1,76,37
1999,Method_1,77,72
1999,Method_1,78,91
1999,Method_1,79,73
1999,Method_1,80,48
1999,Method_1,81,98
1999,Method_1,82,55
1999,Method_1,83,49
1999,Method_1,84,5
1999,Method_1,85,60
1999,Method_1,86,65
1999,Method_1,87,105
1999,Method_1,88,61
1999,Method_1,89,43
1999,Method_1,90,84
1999,Method_1,91,21
1999,Method_1,92,35
1999,Method_1,93,41
1999,Method_1,94,33
1999,Method_1,95,17
1999,Method_1,96,52
1999,Method_1,97,58
1999,Method_1,98,63
1999,Method_1,99,25
1999,Method_1,100,15
1999,Method_1,101,93
1999,Method_1,102,14
1999,Method_1,103,102
1999,Method_1,104,99
1999,Method_1,105,11
1999,Method_1,106,27
1999,Method_1,107,23
1999,Method_1,108,101
1999,Method_1,109,94
1999,Method_2,1,0
1999,Method_2,2,103
1999,Method_2,3,107
1999,Method_2,4,57
1999,Method_2,5,68
1999,Method_2,6,6
1999,Method_2,7,92
1999,Method_2,8,12
1999,Method_2,9,50
1999,Method_2,10,108
1999,Method_2,11,8
1999,Method_2,12,47
1999,Method_2,13,51
1999,Method_2,14,32
1999,Method_2,15,20
1999,Method_2,16,40
1999,Method_2,17,104
1999,Method_2,18,18
1999,Method_2,19,36
1999,Method_2,20,3
1999,Method_2,21,13
1999,Method_2,22,83
1999,Method_2,23,10
1999,Method_2,24,30
1999,Method_2,25,95
1999,Method_2,26,64
1999,Method_2,27,53
1999,Method_2,28,70
1999,Method_2,29,59
1999,Method_2,30,66
1999,Method_2,31,4
1999,Method_2,32,29
1999,Method_2,33,86
1999,Method_2,34,78
1999,Method_2,35,85
1999,Method_2,36,80
1999,Method_2,37,76
1999,Method_2,38,71
1999,Method_2,39,9
1999,Method_2,40,46
1999,Method_2,41,28
1999,Method_2,42,44
1999,Method_2,43,81
1999,Method_2,44,34
1999,Method_2,45,45
1999,Method_2,46,79
1999,Method_2,47,7
1999,Method_2,48,87
1999,Method_2,49,100
1999,Method_2,50,54
1999,Method_2,51,90
1999,Method_2,52,24
1999,Method_2,53,26
1999,Method_2,54,16
1999,Method_2,55,38
1999,Method_2,56,67
1999,Method_2,57,42
1999,Method_2,58,106
1999,Method_2,59,2
1999,Method_2,60,75
1999,Method_2,61,74
1999,Method_2,62,91
1999,Method_2,63,82
1999,Method_2,64,97
1999,Method_2,65,22
1999,Method_2,66,98
1999,Method_2,67,31
1999,Method_2,68,56
1999,Method_2,69,62
1999,Method_2,70,69
1999,Method_2,71,19
1999,Method_2,72,77
1999,Method_2,73,5
1999,Method_2,74,89
1999,Method_2,75,1
1999,Method_2,76,39
1999,Method_2,77,37
1999,Method_2,78,96
1999,Method_2,79,55
1999,Method_2,80,88
1999,Method_2,81,49
1999,Method_2,82,48
1999,Method_2,83,72
1999,Method_2,84,58
1999,Method_2,85,73
1999,Method_2,86,65
1999,Method_2,87,84
1999,Method_2,88,21
1999,Method_2,89,105
1999,Method_2,90,17
1999,Method_2,91,43
1999,Method_2,92,60
1999,Method_2,93,61
1999,Method_2,94,41
1999,Method_2,95,35
1999,Method_2,96,25
1999,Method_2,97,52
1999,Method_2,98,63
1999,Method_2,99,33
1999,Method_2,100,11
1999,Method_2,101,99
1999,Method_2,102,102
1999,Method_2,103,93
1999,Method_2,104,14
1999,Method_2,105,15
1999,Method_2,106,23
1999,Method_2,107,27
1999,Method_2,108,101
1999,Method_2,109,94
1999,Method_3,1,92
1999,Method_3,2,57
1999,Method_3,3,0
1999,Method_3,4,107
1999,Method_3,5,47
1999,Method_3,6,12
1999,Method_3,7,3
1999,Method_3,8,8
1999,Method_3,9,103
1999,Method_3,10,50
1999,Method_3,11,40
1999,Method_3,12,68
1999,Method_3,13,6
1999,Method_3,14,36
1999,Method_3,15,10
1999,Method_3,16,108
1999,Method_3,17,83
1999,Method_3,18,104
1999,Method_3,19,51
1999,Method_3,20,30
1999,Method_3,21,18
1999,Method_3,22,78
1999,Method_3,23,42
1999,Method_3,24,13
1999,Method_3,25,66
1999,Method_3,26,59
1999,Method_3,27,9
1999,Method_3,28,95
1999,Method_3,29,46
1999,Method_3,30,79
1999,Method_3,31,29
1999,Method_3,32,32
1999,Method_3,33,20
1999,Method_3,34,71
1999,Method_3,35,70
1999,Method_3,36,56
1999,Method_3,37,86
1999,Method_3,38,2
1999,Method_3,39,53
1999,Method_3,40,4
1999,Method_3,41,76
1999,Method_3,42,39
1999,Method_3,43,54
1999,Method_3,44,74
1999,Method_3,45,64
1999,Method_3,46,89
1999,Method_3,47,44
1999,Method_3,48,80
1999,Method_3,49,34
1999,Method_3,50,87
1999,Method_3,51,100
1999,Method_3,52,98
1999,Method_3,53,91
1999,Method_3,54,90
1999,Method_3,55,16
1999,Method_3,56,38
1999,Method_3,57,85
1999,Method_3,58,7
1999,Method_3,59,81
1999,Method_3,60,75
1999,Method_3,61,26
1999,Method_3,62,45
1999,Method_3,63,97
1999,Method_3,64,31
1999,Method_3,65,67
1999,Method_3,66,55
1999,Method_3,67,28
1999,Method_3,68,84
1999,Method_3,69,105
1999,Method_3,70,5
1999,Method_3,71,82
1999,Method_3,72,37
1999,Method_3,73,24
1999,Method_3,74,19
1999,Method_3,75,17
1999,Method_3,76,62
1999,Method_3,77,1
1999,Method_3,78,106
1999,Method_3,79,72
1999,Method_3,80,58
1999,Method_3,81,43
1999,Method_3,82,77
1999,Method_3,83,22
1999,Method_3,84,48
1999,Method_3,85,96
1999,Method_3,86,49
1999,Method_3,87,61
1999,Method_3,88,69
1999,Method_3,89,102
1999,Method_3,90,52
1999,Method_3,91,21
1999,Method_3,92,65
1999,Method_3,93,73
1999,Method_3,94,33
1999,Method_3,95,88
1999,Method_3,96,35
1999,Method_3,97,11
1999,Method_3,98,63
1999,Method_3,99,27
1999,Method_3,100,41
1999,Method_3,101,93
1999,Method_3,102,60
1999,Method_3,103,14
1999,Method_3,104,99
1999,Method_3,105,25
1999,Method_3,106,23
1999,Method_3,107,101
1999,Method_3,108,94
1999,Method_3,109,15
1999,Method_4,1,0
1999,Method_4,2,103
1999,Method_4,3,57
1999,Method_4,4,107
1999,Method_4,5,68
1999,Method_4,6,6
1999,Method_4,7,12
1999,Method_4,8,32
1999,Method_4,9,50
1999,Method_4,10,92
1999,Method_4,11,46
1999,Method_4,12,8
1999,Method_4,13,18
1999,Method_4,14,51
1999,Method_4,15,47
1999,Method_4,16,108
1999,Method_4,17,20
1999,Method_4,18,53
1999,Method_4,19,40
1999,Method_4,20,64
1999,Method_4,21,36
1999,Method_4,22,95
1999,Method_4,23,83
1999,Method_4,24,10
1999,Method_4,25,3
1999,Method_4,26,30
1999,Method_4,27,9
1999,Method_4,28,104
1999,Method_4,29,34
1999,Method_4,30,4
1999,Method_4,31,13
1999,Method_4,32,78
1999,Method_4,33,45
1999,Method_4,34,87
1999,Method_4,35,71
1999,Method_4,36,16
1999,Method_4,37,76
1999,Method_4,38,85
1999,Method_4,39,44
1999,Method_4,40,29
1999,Method_4,41,70
1999,Method_4,42,66
1999,Method_4,43,97
1999,Method_4,44,59
1999,Method_4,45,26
1999,Method_4,46,86
1999,Method_4,47,79
1999,Method_4,48,80
1999,Method_4,49,19
1999,Method_4,50,91
1999,Method_4,51,28
1999,Method_4,52,1
1999,Method_4,53,90
1999,Method_4,54,38
1999,Method_4,55,2
1999,Method_4,56,54
1999,Method_4,57,22
1999,Method_4,58,42
1999,Method_4,59,106
1999,Method_4,60,7
1999,Method_4,61,62
1999,Method_4,62,56
1999,Method_4,63,98
1999,Method_4,64,31
1999,Method_4,65,24
1999,Method_4,66,81
1999,Method_4,67,48
1999,Method_4,68,100
1999,Method_4,69,69
1999,Method_4,70,67
1999,Method_4,71,5
1999,Method_4,72,58
1999,Method_4,73,89
1999,Method_4,74,75
1999,Method_4,75,65
1999,Method_4,76,37
1999,Method_4,77,82
1999,Method_4,78,17
1999,Method_4,79,33
1999,Method_4,80,49
1999,Method_4,81,74
1999,Method_4,82,77
1999,Method_4,83,52
1999,Method_4,84,55
1999,Method_4,85,88
1999,Method_4,86,61
1999,Method_4,87,39
1999,Method_4,88,96
1999,Method_4,89,63
1999,Method_4,90,84
1999,Method_4,91,73
1999,Method_4,92,72
1999,Method_4,93,93
1999,Method_4,94,102
1999,Method_4,95,105
1999,Method_4,96,60
1999,Method_4,97,41
1999,Method_4,98,35
1999,Method_4,99,25
1999,Method_4,100,11
1999,Method_4,101,43
1999,Method_4,102,21
1999,Method_4,103,101
1999,Method_4,104,27
1999,Method_4,105,14
1999,Method_4,106,99
1999,Method_4,107,23
1999,Method_4,108,15
1999,Method_4,109,94
1999,Method_5,1,46
1999,Method_5,2,95
1999,Method_5,3,107
1999,Method_5,4,20
1999,Method_5,5,68
1999,Method_5,6,103
1999,Method_5,7,102
1999,Method_5,8,87
1999,Method_5,9,17
1999,Method_5,10,19
1999,Method_5,11,53
1999,Method_5,12,83
1999,Method_5,13,8
1999,Method_5,14,18
1999,Method_5,15,32
1999,Method_5,16,0
1999,Method_5,17,52
1999,Method_5,18,57
1999,Method_5,19,54
1999,Method_5,20,16
1999,Method_5,21,47
1999,Method_5,22,38
1999,Method_5,23,92
1999,Method_5,24,30
1999,Method_5,25,51
1999,Method_5,26,26
1999,Method_5,27,33
1999,Method_5,28,48
1999,Method_5,29,104
1999,Method_5,30,79
1999,Method_5,31,42
1999,Method_5,32,6
1999,Method_5,33,101
1999,Method_5,34,63
1999,Method_5,35,10
1999,Method_5,36,50
1999,Method_5,37,12
1999,Method_5,38,56
1999,Method_5,39,34
1999,Method_5,40,65
1999,Method_5,41,1
1999,Method_5,42,45
1999,Method_5,43,71
1999,Method_5,44,9
1999,Method_5,45,98
1999,Method_5,46,93
1999,Method_5,47,90
1999,Method_5,48,2
1999,Method_5,49,40
1999,Method_5,50,49
1999,Method_5,51,62
1999,Method_5,52,31
1999,Method_5,53,61
1999,Method_5,54,106
1999,Method_5,55,64
1999,Method_5,56,91
1999,Method_5,57,69
1999,Method_5,58,76
1999,Method_5,59,108
1999,Method_5,60,3
1999,Method_5,61,11
1999,Method_5,62,27
1999,Method_5,63,58
1999,Method_5,64,89
1999,Method_5,65,94
1999,Method_5,66,105
1999,Method_5,67,85
1999,Method_5,68,78
1999,Method_5,69,97
1999,Method_5,70,84
1999,Method_5,71,36
1999,Method_5,72,44
1999,Method_5,73,22
1999,Method_5,74,82
1999,Method_5,75,21
1999,Method_5,76,55
1999,Method_5,77,88
1999,Method_5,78,73
1999,Method_5,79,41
1999,Method_5,80,35
1999,Method_5,81,25
1999,Method_5,82,5
1999,Method_5,83,28
1999,Method_5,84,80
1999,Method_5,85,37
1999,Method_5,86,14
1999,Method_5,87,75
1999,Method_5,88,39
1999,Method_5,89,4
1999,Method_5,90,15
1999,Method_5,91,29
1999,Method_5,92,24
1999,Method_5,93,96
1999,Method_5,94,23
1999,Method_5,95,59
1999,Method_5,96,86
1999,Method_5,97,100
1999,Method_5,98,66
1999,Method_5,99,13
1999,Method_5,100,99
1999,Method_5,101,81
1999,Method_5,102,74
1999,Method_5,103,67
1999,Method_5,104,77
1999,Method_5,105,70
1999,Method_5,106,7
1999,Method_5,107,60
1999,Method_5,108,72
1999,Method_5,109,43
1999,Method_6,1,0
1999,Method_6,2,68
1999,Method_6,3,107
1999,Method_6,4,50
1999,Method_6,5,12
1999,Method_6,6,6
1999,Method_6,7,103
1999,Method_6,8,18
1999,Method_6,9,57
1999,Method_6,10,32
1999,Method_6,11,13
1999,Method_6,12,70
1999,Method_6,13,95
1999,Method_6,14,86
1999,Method_6,15,53
1999,Method_6,16,20
1999,Method_6,17,36
1999,Method_6,18,8
1999,Method_6,19,47
1999,Method_6,20,59
1999,Method_6,21,66
1999,Method_6,22,83
1999,Method_6,23,40
1999,Method_6,24,92
1999,Method_6,25,51
1999,Method_6,26,64
1999,Method_6,27,85
1999,Method_6,28,30
1999,Method_6,29,81
1999,Method_6,30,4
1999,Method_6,31,34
1999,Method_6,32,108
1999,Method_6,33,76
1999,Method_6,34,104
1999,Method_6,35,28
1999,Method_6,36,7
1999,Method_6,37,78
1999,Method_6,38,44
1999,Method_6,39,3
1999,Method_6,40,9
1999,Method_6,41,46
1999,Method_6,42,45
1999,Method_6,43,80
1999,Method_6,44,75
1999,Method_6,45,74
1999,Method_6,46,100
1999,Method_6,47,24
1999,Method_6,48,69
1999,Method_6,49,29
1999,Method_6,50,67
1999,Method_6,51,10
1999,Method_6,52,87
1999,Method_6,53,106
1999,Method_6,54,71
1999,Method_6,55,90
1999,Method_6,56,54
1999,Method_6,57,38
1999,Method_6,58,26
1999,Method_6,59,16
1999,Method_6,60,22
1999,Method_6,61,2
1999,Method_6,62,42
1999,Method_6,63,19
1999,Method_6,64,97
1999,Method_6,65,1
1999,Method_6,66,79
1999,Method_6,67,96
1999,Method_6,68,77
1999,Method_6,69,56
1999,Method_6,70,82
1999,Method_6,71,89
1999,Method_6,72,39
1999,Method_6,73,62
1999,Method_6,74,31
1999,Method_6,75,88
1999,Method_6,76,37
1999,Method_6,77,72
1999,Method_6,78,91
1999,Method_6,79,73
1999,Method_6,80,48
1999,Method_6,81,98
1999,Method_6,82,55
1999,Method_6,83,49
1999,Method_6,84,5
1999,Method_6,85,60
1999,Method_6,86,65
1999,Method_6,87,105
1999,Method_6,88,61
1999,Method_6,89,43
1999,Method_6,90,84
1999,Method_6,91,21
1999,Method_6,92,35
1999,Method_6,93,41
1999,Method_6,94,33
1999,Method_6,95,17
1999,Method_6,96,52
1999,Method_6,97,58
1999,Method_6,98,63
1999,Method_6,99,25
1999,Method_6,100,15
1999,Method_6,101,93
1999,Method_6,102,14
1999,Method_6,103,102
1999,Method_6,104,99
1999,Method_6,105,11
1999,Method_6,106,27
1999,Method_6,107,23
1999,Method_6,108,101
1999,Method_6,109,94
